epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1605.05,2.51593,3.50637,0.05582,0.91868,0.80438,0.89551,0.64368,1.14506,0.66145,0.03513,0.00999583,0.00333194,0.00999583,0.00333194,0.00999583,0.00333194,0.00999583,0.00333194
2,2734.52,0.83005,0.38581,0.01444,0.98395,0.98434,0.9943,0.90054,0.47507,0.1725,0.01388,0.019006,0.00633535,0.019006,0.00633535,0.019006,0.00633535,0.019006,0.00633535
3,3625.2,0.69774,0.30097,0.01187,0.9852,0.9895,0.99449,0.9322,0.37912,0.14384,0.01076,0.0270262,0.00900875,0.0270262,0.00900875,0.0270262,0.00900875,0.0270262,0.00900875
4,4501.22,0.60676,0.25805,0.01016,0.99456,0.99537,0.99493,0.95814,0.30932,0.10571,0.00894,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,5383.72,0.53468,0.23096,0.00889,0.99471,0.99485,0.99483,0.97308,0.25425,0.09262,0.00723,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,6273.61,0.49813,0.2176,0.00825,0.99795,0.99842,0.99499,0.97925,0.2285,0.07869,0.00655,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,7160.63,0.47422,0.21019,0.00784,0.99728,0.99731,0.995,0.98142,0.20613,0.07459,0.00589,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,8041.53,0.451,0.2022,0.00748,0.99846,0.99877,0.99499,0.98333,0.1957,0.0681,0.00563,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,8928.03,0.42977,0.19311,0.00711,0.99702,0.99872,0.995,0.98454,0.18583,0.06715,0.00535,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,9808.06,0.41258,0.18615,0.00686,0.99817,0.99833,0.99498,0.98509,0.17775,0.06353,0.00513,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,10538,0.29995,0.10742,0.008,0.99865,0.99829,0.995,0.98719,0.17413,0.06513,0.00501,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,11266.4,0.26934,0.09848,0.007,0.99791,0.99816,0.99496,0.98816,0.16742,0.06363,0.00478,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,11995.5,0.25145,0.09507,0.00655,0.99846,0.99824,0.995,0.98891,0.16093,0.06152,0.00458,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,12723.8,0.2317,0.08401,0.00606,0.99838,0.99797,0.99499,0.98942,0.15474,0.06012,0.0044,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,13451.6,0.213,0.07672,0.00556,0.99806,0.99759,0.995,0.98961,0.15155,0.05935,0.00432,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,14196.8,0.19639,0.07148,0.00515,0.998,0.99787,0.99493,0.98963,0.14855,0.05872,0.00424,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,14926.2,0.17989,0.067,0.00476,0.99839,0.99841,0.99498,0.98981,0.14644,0.05789,0.00419,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,15655.3,0.1673,0.06313,0.00447,0.99838,0.99819,0.99498,0.99,0.14374,0.0584,0.0041,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,16384.4,0.15363,0.05701,0.00412,0.99777,0.99737,0.995,0.99016,0.14089,0.05818,0.00402,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,17113.2,0.14166,0.05212,0.00383,0.99774,0.99796,0.995,0.9903,0.1381,0.05664,0.00393,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
