epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49132,4.57128,7.22948,0.12341,0,0,0,0,6.3119,16.7488,0.28349,0.00016,0.00016,0.00016
2,6.50165,4.4912,7.02157,0.11826,0,0,0,0,6.32076,16.879,0.28361,0.000339327,0.000339327,0.000339327
3,8.96067,4.38625,6.43202,0.1118,0,0,0,0,6.32364,16.9675,0.28395,0.000517941,0.000517941,0.000517941
4,11.1914,4.4041,6.13395,0.11723,0,0,0,0,6.31626,16.915,0.28364,0.000695842,0.000695842,0.000695842
5,13.388,4.21421,5.35439,0.10987,0,0,0,0,6.25751,16.2465,0.28194,0.00087303,0.00087303,0.00087303
6,15.7152,3.98255,4.79941,0.10445,0,0,0,0,5.60452,11.0966,0.25968,0.00104951,0.00104951,0.00104951
7,18.6168,3.99581,4.39108,0.10634,0,0,0,0,5.70282,10.5515,0.26352,0.00122527,0.00122527,0.00122527
8,20.7037,3.72717,3.9945,0.09888,5e-05,0.005,0.00502,0.0005,5.50171,5.44908,0.26231,0.00140032,0.00140032,0.00140032
9,22.7361,3.50395,3.53984,0.0892,0.00018,0.02,0.001,0.0002,5.21574,4.56655,0.23121,0.00157466,0.00157466,0.00157466
10,24.8704,3.38093,3.39974,0.08861,0.02132,0.325,0.02697,0.00626,3.49795,3.27828,0.13246,0.00174828,0.00174828,0.00174828
11,27.2795,3.13599,3.07188,0.08029,0.04138,0.045,0.02278,0.00503,3.31477,3.28969,0.11957,0.00192119,0.00192119,0.00192119
12,29.5199,2.97497,2.85251,0.07412,0.06106,0.13,0.02809,0.00558,3.02444,3.35017,0.11177,0.00195644,0.00195644,0.00195644
13,31.9087,2.87003,2.77424,0.07104,0.01194,0.07,0.00791,0.0019,3.41807,3.5988,0.1243,0.00195248,0.00195248,0.00195248
14,34.3769,2.81669,2.54943,0.07038,0.05612,0.21,0.03296,0.00844,2.75193,3.26683,0.1154,0.00194852,0.00194852,0.00194852
15,36.5748,2.69948,2.38435,0.06543,0.05261,0.14,0.02788,0.00729,2.82607,3.2749,0.09882,0.00194456,0.00194456,0.00194456
16,38.6377,2.60339,2.22319,0.06336,0.0751,0.12,0.0379,0.00813,3.04855,3.11068,0.09407,0.0019406,0.0019406,0.0019406
17,40.6588,2.5163,2.09235,0.05799,0.27796,0.25,0.15683,0.0466,2.61171,2.50008,0.09036,0.00193664,0.00193664,0.00193664
18,42.8338,2.33172,1.91106,0.05424,0.33778,0.315,0.19844,0.05331,2.8977,2.17071,0.10088,0.00193268,0.00193268,0.00193268
19,44.8986,2.35656,1.83806,0.05335,0.26797,0.165,0.08588,0.01977,3.75922,2.5407,0.13065,0.00192872,0.00192872,0.00192872
20,46.9909,2.37286,1.76948,0.05502,0.44726,0.4,0.3501,0.0969,2.73225,1.79855,0.09165,0.00192476,0.00192476,0.00192476
21,49.0249,2.22,1.6404,0.04925,0.51493,0.425,0.39706,0.13739,2.50846,1.86746,0.08684,0.0019208,0.0019208,0.0019208
22,51.2052,2.12776,1.61922,0.04518,0.44799,0.355,0.35161,0.10372,2.60826,2.15241,0.07986,0.00191684,0.00191684,0.00191684
23,53.2208,2.11915,1.56263,0.04746,0.52783,0.52,0.47442,0.19541,1.97432,2.07128,0.05953,0.00191288,0.00191288,0.00191288
24,55.3033,1.99177,1.53078,0.04383,0.58743,0.575,0.61626,0.25067,2.05014,1.42846,0.06283,0.00190892,0.00190892,0.00190892
25,57.3272,1.97009,1.45679,0.04149,0.65903,0.49,0.57195,0.17382,2.50451,1.47943,0.08358,0.00190496,0.00190496,0.00190496
26,59.4432,2.04778,1.45917,0.04543,0.70036,0.535,0.59297,0.26355,2.02646,1.43534,0.06755,0.001901,0.001901,0.001901
27,61.5155,1.93072,1.33941,0.04022,0.71163,0.5,0.58506,0.26118,1.86112,1.38512,0.06061,0.00189704,0.00189704,0.00189704
28,63.5618,1.91118,1.31076,0.04114,0.5635,0.535,0.60152,0.24915,2.06183,1.4853,0.08055,0.00189308,0.00189308,0.00189308
29,65.6611,1.7674,1.21787,0.03786,0.59544,0.5,0.54191,0.2579,1.94805,1.44903,0.06621,0.00188912,0.00188912,0.00188912
30,67.6865,1.72834,1.17208,0.0354,0.61788,0.57,0.62517,0.31752,1.72,1.26976,0.06543,0.00188516,0.00188516,0.00188516
31,69.7508,1.7978,1.17728,0.03793,0.78523,0.53016,0.65774,0.33032,1.84903,1.15368,0.05782,0.0018812,0.0018812,0.0018812
32,71.8513,1.68223,1.12021,0.03468,0.64621,0.57535,0.67595,0.31618,1.8002,1.1517,0.05551,0.00187724,0.00187724,0.00187724
33,73.9612,1.60832,1.06099,0.03364,0.63166,0.67737,0.70036,0.39577,1.4978,0.97887,0.04494,0.00187328,0.00187328,0.00187328
34,76.0872,1.6418,1.07511,0.03491,0.71715,0.70991,0.79979,0.47271,1.36271,0.86398,0.04428,0.00186932,0.00186932,0.00186932
35,78.2856,1.58587,1.02246,0.03366,0.7007,0.72576,0.78838,0.43747,1.57189,1.07884,0.04788,0.00186536,0.00186536,0.00186536
36,80.5379,1.54571,0.95806,0.03241,0.72966,0.775,0.82116,0.47977,1.49515,0.83921,0.04274,0.0018614,0.0018614,0.0018614
37,83.2331,1.51957,0.95782,0.03097,0.79616,0.66,0.8148,0.49433,1.33876,0.91741,0.04077,0.00185744,0.00185744,0.00185744
38,85.8985,1.42644,0.88144,0.0287,0.69246,0.79,0.81458,0.422,1.80013,0.97787,0.05416,0.00185348,0.00185348,0.00185348
39,88.2805,1.52705,0.94092,0.02974,0.86424,0.78,0.89031,0.56037,1.36416,0.74948,0.03541,0.00184952,0.00184952,0.00184952
40,90.9096,1.45132,0.91716,0.02943,0.80408,0.82083,0.89805,0.57699,1.28029,0.63154,0.03868,0.00184556,0.00184556,0.00184556
41,92.9364,1.45045,0.87958,0.02825,0.6495,0.755,0.73763,0.45188,1.2318,1.18705,0.0372,0.0018416,0.0018416,0.0018416
42,95.0087,1.25724,0.78602,0.02544,0.8049,0.72196,0.84626,0.54066,1.33038,0.78948,0.04087,0.00183764,0.00183764,0.00183764
43,97.0312,1.2749,0.79716,0.02436,0.82569,0.695,0.81472,0.54523,1.1616,0.7599,0.03276,0.00183368,0.00183368,0.00183368
44,99.1744,1.30196,0.7876,0.02635,0.74622,0.8086,0.81897,0.56086,1.17308,0.74107,0.03455,0.00182972,0.00182972,0.00182972
45,101.217,1.30514,0.77427,0.02538,0.74879,0.785,0.82514,0.57331,1.27271,0.85238,0.03451,0.00182576,0.00182576,0.00182576
46,103.251,1.26827,0.74684,0.02436,0.72703,0.8523,0.82849,0.57676,1.18183,0.86562,0.02932,0.0018218,0.0018218,0.0018218
47,105.256,1.25045,0.73167,0.02465,0.80224,0.79105,0.87675,0.61379,1.16055,0.67048,0.02912,0.00181784,0.00181784,0.00181784
48,107.495,1.20089,0.71059,0.02362,0.8552,0.88593,0.95204,0.69883,0.96787,0.60505,0.02387,0.00181388,0.00181388,0.00181388
49,109.57,1.2514,0.72603,0.02422,0.73724,0.885,0.89116,0.60963,1.21812,0.62044,0.03519,0.00180992,0.00180992,0.00180992
50,111.652,1.229,0.7025,0.02432,0.77033,0.795,0.84889,0.63192,0.92271,0.69181,0.0232,0.00180596,0.00180596,0.00180596
51,113.737,1.17089,0.66048,0.02262,0.79282,0.78446,0.87344,0.63805,1.02473,0.64727,0.02672,0.001802,0.001802,0.001802
52,115.86,1.1686,0.65638,0.02227,0.79988,0.83938,0.86787,0.62431,1.05614,0.74457,0.02727,0.00179804,0.00179804,0.00179804
53,117.869,1.12019,0.63424,0.02147,0.81244,0.85,0.89916,0.64145,1.09856,0.70639,0.0309,0.00179408,0.00179408,0.00179408
54,119.909,1.19538,0.66414,0.02416,0.78809,0.82,0.88081,0.60927,1.15705,0.66385,0.03875,0.00179012,0.00179012,0.00179012
55,122.005,1.08219,0.63359,0.02133,0.81196,0.83,0.89745,0.64486,1.05063,0.60019,0.02871,0.00178616,0.00178616,0.00178616
56,124.08,1.20442,0.64357,0.023,0.88291,0.8,0.91838,0.6345,1.03584,0.59582,0.02351,0.0017822,0.0017822,0.0017822
57,126.115,1.223,0.63492,0.02426,0.82598,0.85437,0.91213,0.67472,0.87352,0.56616,0.02425,0.00177824,0.00177824,0.00177824
58,128.191,1.12695,0.6209,0.02223,0.75805,0.91,0.91282,0.64142,1.09501,0.61118,0.02587,0.00177428,0.00177428,0.00177428
59,130.296,1.19117,0.62931,0.02253,0.90676,0.815,0.92802,0.68288,0.89895,0.56969,0.02279,0.00177032,0.00177032,0.00177032
60,132.355,1.17573,0.62549,0.02274,0.93964,0.77,0.92252,0.63202,1.04605,0.65035,0.03107,0.00176636,0.00176636,0.00176636
61,134.369,1.10925,0.58654,0.02216,0.85248,0.815,0.90446,0.69547,0.84621,0.59273,0.02323,0.0017624,0.0017624,0.0017624
62,136.517,1.16222,0.62936,0.02248,0.84142,0.87548,0.93546,0.67913,0.98154,0.63484,0.02535,0.00175844,0.00175844,0.00175844
63,138.524,1.13973,0.60982,0.02258,0.86119,0.82,0.91705,0.62912,1.07942,0.73513,0.02705,0.00175448,0.00175448,0.00175448
64,140.567,1.10643,0.59022,0.02329,0.82294,0.76691,0.88881,0.58822,1.13424,0.74857,0.03637,0.00175052,0.00175052,0.00175052
65,142.661,1.09316,0.60902,0.02147,0.88646,0.795,0.90946,0.66804,0.96392,0.67174,0.02529,0.00174656,0.00174656,0.00174656
66,144.806,1.06819,0.57396,0.01987,0.8076,0.79754,0.87452,0.57823,1.1879,0.74163,0.03411,0.0017426,0.0017426,0.0017426
67,147.088,1.11148,0.59221,0.02181,0.76484,0.83,0.88717,0.63859,1.04679,0.73744,0.02797,0.00173864,0.00173864,0.00173864
68,149.376,1.10581,0.59723,0.02186,0.83704,0.76,0.90304,0.66233,0.88412,0.61317,0.02275,0.00173468,0.00173468,0.00173468
69,151.727,1.07946,0.58425,0.02034,0.92369,0.86,0.9594,0.64313,1.14895,0.65835,0.02891,0.00173072,0.00173072,0.00173072
70,154.042,1.08376,0.58271,0.0207,0.82779,0.815,0.90677,0.66265,0.92609,0.52852,0.02701,0.00172676,0.00172676,0.00172676
71,156.284,0.99002,0.55236,0.01866,0.8727,0.82268,0.92479,0.69351,0.89138,0.53132,0.02261,0.0017228,0.0017228,0.0017228
72,158.416,0.96983,0.52052,0.01763,0.86281,0.905,0.94748,0.73833,0.85363,0.54257,0.02497,0.00171884,0.00171884,0.00171884
73,160.471,0.98883,0.5166,0.02008,0.79613,0.93723,0.93333,0.69884,0.92048,0.54083,0.02608,0.00171488,0.00171488,0.00171488
74,162.616,0.98142,0.54049,0.01835,0.81195,0.88,0.90451,0.70658,0.75499,0.63247,0.01977,0.00171092,0.00171092,0.00171092
75,164.623,0.96492,0.52103,0.01754,0.90071,0.865,0.9409,0.72891,0.75487,0.563,0.02056,0.00170696,0.00170696,0.00170696
76,166.655,0.9977,0.5288,0.01868,0.88525,0.855,0.94082,0.69092,1.00286,0.49105,0.02833,0.001703,0.001703,0.001703
77,168.754,0.96843,0.49756,0.01799,0.75688,0.93399,0.91115,0.70126,0.89347,0.64897,0.02309,0.00169904,0.00169904,0.00169904
78,170.806,1.02742,0.52805,0.02079,0.92094,0.855,0.95948,0.73451,0.8287,0.55052,0.02313,0.00169508,0.00169508,0.00169508
79,172.819,0.98175,0.47672,0.01848,0.93034,0.905,0.97214,0.74039,0.88691,0.44619,0.02544,0.00169112,0.00169112,0.00169112
80,174.888,1.03743,0.51738,0.02026,0.86904,0.92902,0.95946,0.72623,0.78209,0.44993,0.02273,0.00168716,0.00168716,0.00168716
81,176.979,0.96422,0.50691,0.01757,0.88382,0.805,0.9324,0.73093,0.70781,0.53589,0.01912,0.0016832,0.0016832,0.0016832
82,179.034,0.91218,0.48621,0.01737,0.9256,0.775,0.93645,0.6981,0.95085,0.5963,0.02666,0.00167924,0.00167924,0.00167924
83,181.069,0.94389,0.48797,0.01724,0.82086,0.84772,0.91505,0.7145,0.80845,0.55133,0.02096,0.00167528,0.00167528,0.00167528
84,183.147,0.91938,0.48017,0.01594,0.92352,0.915,0.9613,0.75948,0.76926,0.45238,0.02033,0.00167132,0.00167132,0.00167132
85,185.312,0.91537,0.4927,0.0168,0.94323,0.83074,0.94986,0.69091,0.9308,0.5191,0.02543,0.00166736,0.00166736,0.00166736
86,187.356,0.93215,0.47484,0.01636,0.89171,0.83,0.93569,0.74953,0.81705,0.53549,0.01826,0.0016634,0.0016634,0.0016634
87,189.375,0.99107,0.48354,0.01745,0.89965,0.865,0.93855,0.71326,0.82328,0.46356,0.02227,0.00165944,0.00165944,0.00165944
88,191.442,0.92835,0.46352,0.01752,0.90123,0.875,0.94197,0.73987,0.85363,0.48499,0.02099,0.00165548,0.00165548,0.00165548
