epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.50181,1.42452,1.7913,0.0323,0.84694,0.94067,0.93224,0.74448,0.69374,0.5591,0.01663,0.00016,0.00016,0.00016
2,6.77938,0.99162,0.82604,0.0188,0.88504,0.935,0.93137,0.777,0.64887,0.48133,0.01585,0.000339327,0.000339327,0.000339327
3,9.01954,0.81483,0.50059,0.01396,0.87695,0.86,0.89871,0.78905,0.47325,0.52367,0.01183,0.000517941,0.000517941,0.000517941
4,11.1943,0.73842,0.44409,0.01287,0.9284,0.90759,0.97112,0.83362,0.61032,0.30897,0.01813,0.000695842,0.000695842,0.000695842
5,13.4476,0.69089,0.35491,0.01169,0.77101,0.94276,0.90324,0.76742,0.58033,0.53092,0.0164,0.00087303,0.00087303,0.00087303
6,15.6156,0.69416,0.35455,0.01207,0.88689,0.8,0.93088,0.7972,0.5088,0.46266,0.01404,0.00104951,0.00104951,0.00104951
7,17.6305,0.64145,0.33538,0.01108,0.9067,0.93,0.97264,0.86238,0.46602,0.43939,0.01138,0.00122527,0.00122527,0.00122527
8,19.8439,0.66845,0.33421,0.01205,0.91149,0.895,0.94274,0.81447,0.54295,0.40176,0.01434,0.00140032,0.00140032,0.00140032
9,22.1958,0.60893,0.30536,0.00973,0.85719,0.93033,0.92406,0.78865,0.52413,0.39443,0.01371,0.00157466,0.00157466,0.00157466
10,24.6722,0.6115,0.32594,0.01063,0.88209,0.975,0.96332,0.85045,0.46441,0.3459,0.01155,0.00174828,0.00174828,0.00174828
11,26.6909,0.61071,0.31892,0.01099,0.94423,0.93122,0.96943,0.83371,0.54774,0.3554,0.01373,0.00192119,0.00192119,0.00192119
12,28.8416,0.64842,0.32166,0.01084,0.88283,0.925,0.93838,0.78479,0.61777,0.46573,0.01658,0.00195644,0.00195644,0.00195644
13,31.1346,0.69428,0.354,0.01181,0.87292,0.93,0.95288,0.79965,0.60716,0.44098,0.01708,0.00195248,0.00195248,0.00195248
14,33.8177,0.63349,0.30783,0.01138,0.86685,0.915,0.93854,0.74251,0.68161,0.48948,0.02061,0.00194852,0.00194852,0.00194852
15,35.8906,0.66082,0.31732,0.01147,0.94452,0.93632,0.97324,0.83156,0.59375,0.29182,0.01653,0.00194456,0.00194456,0.00194456
16,37.9332,0.59172,0.28686,0.01008,0.93211,0.97,0.97224,0.84268,0.59555,0.27886,0.01635,0.0019406,0.0019406,0.0019406
17,39.9748,0.64224,0.33408,0.01105,0.90173,0.96,0.95796,0.80104,0.63069,0.33821,0.0205,0.00193664,0.00193664,0.00193664
18,42.0956,0.60564,0.30732,0.01042,0.8749,0.955,0.9448,0.80408,0.594,0.2521,0.01632,0.00193268,0.00193268,0.00193268
19,44.1094,0.62302,0.31669,0.01007,0.97,0.96993,0.98813,0.85781,0.55561,0.20193,0.01518,0.00192872,0.00192872,0.00192872
20,46.1769,0.64428,0.29984,0.0108,0.90035,0.97,0.96782,0.79822,0.66851,0.3613,0.01942,0.00192476,0.00192476,0.00192476
21,48.2413,0.56095,0.28204,0.00906,0.86662,0.94212,0.93045,0.76173,0.72694,0.45574,0.02137,0.0019208,0.0019208,0.0019208
22,50.3621,0.56116,0.30144,0.00925,0.9283,0.97107,0.97541,0.86391,0.49848,0.26362,0.01264,0.00191684,0.00191684,0.00191684
23,52.3951,0.55007,0.27653,0.00903,0.9649,0.96216,0.98257,0.86232,0.55326,0.23938,0.01437,0.00191288,0.00191288,0.00191288
24,54.5091,0.57516,0.27395,0.00986,0.97376,0.95,0.98343,0.8545,0.53132,0.25139,0.01321,0.00190892,0.00190892,0.00190892
25,56.5221,0.5887,0.26965,0.00932,0.97501,0.97536,0.99214,0.8533,0.56493,0.30212,0.01492,0.00190496,0.00190496,0.00190496
26,58.6361,0.56537,0.29326,0.0097,0.97516,0.98126,0.9933,0.91026,0.4337,0.1676,0.00898,0.001901,0.001901,0.001901
27,60.7048,0.54642,0.24939,0.00928,0.96039,0.975,0.98744,0.86332,0.59955,0.21823,0.01699,0.00189704,0.00189704,0.00189704
28,62.7819,0.51645,0.23627,0.00805,0.95617,0.98167,0.9916,0.87833,0.45682,0.18418,0.01202,0.00189308,0.00189308,0.00189308
29,64.814,0.49832,0.2532,0.00835,0.95097,0.96984,0.98903,0.87066,0.49029,0.20888,0.01284,0.00188912,0.00188912,0.00188912
30,66.9484,0.53992,0.24368,0.00889,0.91018,0.96269,0.95302,0.80038,0.60383,0.30585,0.01849,0.00188516,0.00188516,0.00188516
31,68.9769,0.53024,0.25073,0.00874,0.96048,0.97223,0.98959,0.86085,0.54859,0.21743,0.01458,0.0018812,0.0018812,0.0018812
32,71.0621,0.50536,0.23064,0.00807,0.94727,0.98805,0.98828,0.83149,0.49944,0.20989,0.01354,0.00187724,0.00187724,0.00187724
33,73.088,0.50466,0.24589,0.00853,0.93628,0.95503,0.96738,0.8153,0.56451,0.32486,0.01593,0.00187328,0.00187328,0.00187328
34,75.2184,0.53036,0.27905,0.00897,0.88462,0.92005,0.95512,0.79916,0.60055,0.60044,0.01636,0.00186932,0.00186932,0.00186932
35,77.2249,0.50924,0.24014,0.00815,0.95883,0.865,0.96356,0.82919,0.51639,0.55147,0.01307,0.00186536,0.00186536,0.00186536
36,79.2889,0.49116,0.23411,0.00811,0.88982,0.96911,0.968,0.82581,0.53767,0.32439,0.01461,0.0018614,0.0018614,0.0018614
37,81.2815,0.53283,0.26388,0.00892,0.9572,0.975,0.97803,0.87795,0.45789,0.21442,0.01074,0.00185744,0.00185744,0.00185744
