epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6037,3.07987,3.33282,0.06255,0.06845,0.09302,0.017,0.00439,4.65642,3.01096,0.15302,0.000649573,0.000649573,0.000649573
2,111.175,2.24779,1.22877,0.04879,0.22793,0.3876,0.18432,0.0419,3.49857,2.09278,0.11649,0.00131494,0.00131494,0.00131494
3,127.636,1.73145,1.19668,0.03401,0.3521,0.44186,0.32678,0.07372,3.0663,1.63599,0.1098,0.00197898,0.00197898,0.00197898
4,152.117,1.6505,1.08963,0.03026,0.43431,0.72868,0.50262,0.15742,2.44654,2.09063,0.08344,0.00199406,0.00199406,0.00199406
5,174.861,1.63326,1.02123,0.03118,0.42944,0.7907,0.52226,0.24446,1.8445,2.03108,0.0532,0.00199208,0.00199208,0.00199208
6,194.529,1.45556,0.97306,0.02489,0.53953,0.73643,0.59536,0.25152,2.11819,1.69112,0.06329,0.0019901,0.0019901,0.0019901
7,212.291,1.60891,0.82096,0.02871,0.68521,0.74246,0.74538,0.31589,1.99212,1.17313,0.05966,0.00198812,0.00198812,0.00198812
8,230.476,1.50362,0.81931,0.02912,0.83337,0.89172,0.92143,0.37817,2.14256,1.01045,0.06362,0.00198614,0.00198614,0.00198614
9,246.106,1.37673,0.8597,0.02516,0.89666,0.8062,0.88267,0.3617,2.08839,1.19981,0.06358,0.00198416,0.00198416,0.00198416
10,261.954,1.39007,0.70524,0.02366,0.91464,0.83067,0.91422,0.39048,2.24377,0.7087,0.06924,0.00198218,0.00198218,0.00198218
11,281.12,1.37105,0.69216,0.02535,0.64916,0.65891,0.71505,0.3697,1.67371,1.12211,0.04353,0.0019802,0.0019802,0.0019802
12,297.386,1.3701,0.73037,0.02649,0.81475,0.85271,0.89709,0.42736,2.15971,1.12157,0.06505,0.00197822,0.00197822,0.00197822
13,315.216,1.33446,0.673,0.02407,0.83647,0.83273,0.87299,0.44407,1.8019,1.06602,0.04984,0.00197624,0.00197624,0.00197624
14,330.607,1.2628,0.66016,0.02087,0.8069,0.77519,0.86235,0.40655,1.81551,1.26145,0.05463,0.00197426,0.00197426,0.00197426
15,346.621,1.25677,0.66828,0.02142,0.82985,0.84496,0.88817,0.46353,1.62926,1.0939,0.04611,0.00197228,0.00197228,0.00197228
16,366.47,1.2168,0.5873,0.02007,0.83689,0.79547,0.86579,0.53321,1.44412,0.8817,0.03433,0.0019703,0.0019703,0.0019703
17,383.653,1.25831,0.61903,0.02053,0.9071,0.83263,0.93174,0.52813,1.62461,0.95969,0.04415,0.00196832,0.00196832,0.00196832
18,399.675,1.23331,0.52762,0.0212,0.90192,0.92673,0.94818,0.55237,1.68511,0.60335,0.04472,0.00196634,0.00196634,0.00196634
19,417.289,1.25538,0.50619,0.01952,0.90152,0.82946,0.92068,0.50118,1.77998,0.90162,0.04969,0.00196436,0.00196436,0.00196436
20,433.116,1.18329,0.49482,0.01955,0.82297,0.81395,0.89221,0.58429,1.40371,0.69293,0.03237,0.00196238,0.00196238,0.00196238
21,450.238,1.26671,0.52308,0.02175,0.94945,0.8736,0.95971,0.58828,1.60611,0.55529,0.0446,0.0019604,0.0019604,0.0019604
22,467.629,1.18648,0.49061,0.0174,0.9096,0.94574,0.96634,0.55123,1.73736,0.52914,0.04571,0.00195842,0.00195842,0.00195842
23,483.12,1.22851,0.48301,0.01988,0.93464,0.90698,0.96774,0.61261,1.3715,0.51288,0.03502,0.00195644,0.00195644,0.00195644
24,502.318,1.24209,0.48787,0.02073,0.91561,0.84106,0.92037,0.43606,1.86863,0.87949,0.05848,0.00195446,0.00195446,0.00195446
25,518.289,1.13211,0.45632,0.0182,0.89525,0.93023,0.95635,0.57971,1.57199,0.68321,0.03559,0.00195248,0.00195248,0.00195248
26,533.757,1.14276,0.4409,0.01872,0.91976,0.89147,0.94576,0.58281,1.69366,0.59991,0.04541,0.0019505,0.0019505,0.0019505
27,552.061,1.13167,0.48054,0.01918,0.95188,0.92248,0.96275,0.61308,1.55597,0.53208,0.0383,0.00194852,0.00194852,0.00194852
28,568.054,1.11358,0.40515,0.018,0.94837,0.91473,0.96701,0.59367,1.61017,0.60017,0.04434,0.00194654,0.00194654,0.00194654
29,583.925,1.1211,0.44281,0.01737,0.89758,0.89147,0.93668,0.62115,1.53516,0.63716,0.0367,0.00194456,0.00194456,0.00194456
30,603.371,1.10126,0.41239,0.01709,0.83578,0.89922,0.93044,0.61773,1.34777,0.52715,0.02926,0.00194258,0.00194258,0.00194258
31,621.666,1.05759,0.442,0.01644,0.91329,0.89818,0.95265,0.59589,1.62933,0.53992,0.041,0.0019406,0.0019406,0.0019406
32,637.326,1.23191,0.47378,0.01865,0.92203,0.91677,0.95958,0.69391,1.23562,0.59637,0.02161,0.00193862,0.00193862,0.00193862
33,654.102,1.0675,0.42626,0.01631,0.94114,0.92248,0.97884,0.68596,1.31226,0.39561,0.02809,0.00193664,0.00193664,0.00193664
34,672.667,1.15106,0.44561,0.01849,0.91033,0.94437,0.96294,0.68308,1.28245,0.43946,0.02787,0.00193466,0.00193466,0.00193466
35,688.292,1.13638,0.4325,0.0171,0.91491,0.91692,0.96387,0.66599,1.36818,0.46399,0.03405,0.00193268,0.00193268,0.00193268
36,706.472,1.09651,0.43651,0.01576,0.8887,0.92845,0.95937,0.67495,1.25988,0.42175,0.02717,0.0019307,0.0019307,0.0019307
37,722.01,1.10226,0.43551,0.01621,0.89233,0.91473,0.95343,0.63391,1.49836,0.52037,0.03628,0.00192872,0.00192872,0.00192872
38,738.176,1.12347,0.416,0.01665,0.92802,0.89953,0.96464,0.67812,1.32011,0.46678,0.0282,0.00192674,0.00192674,0.00192674
39,756.428,1.14393,0.4425,0.01789,0.91064,0.869,0.93842,0.62729,1.3556,0.57947,0.02809,0.00192476,0.00192476,0.00192476
40,772.231,1.11283,0.4336,0.01746,0.95119,0.90636,0.96336,0.63279,1.37879,0.47694,0.03384,0.00192278,0.00192278,0.00192278
41,792.851,1.14564,0.43152,0.01707,0.92165,0.91195,0.95968,0.6605,1.27793,0.44704,0.02684,0.0019208,0.0019208,0.0019208
42,810.687,1.16483,0.4218,0.01753,0.89276,0.96799,0.97496,0.67694,1.3068,0.47215,0.02949,0.00191882,0.00191882,0.00191882
