epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4943,2.54035,3.42193,0.02646,0.8297,0.81395,0.82212,0.49532,1.733,1.45799,0.02682,0.00018,0.00018,0.00018
2,29.6611,1.86129,1.69818,0.02173,0.86044,0.78295,0.86041,0.34535,2.16642,1.3459,0.03197,0.000379248,0.000379248,0.000379248
3,34.2291,1.46096,0.90095,0.01586,0.84722,0.72868,0.81764,0.49638,1.36966,1.22414,0.02121,0.000577703,0.000577703,0.000577703
4,38.7071,1.29721,0.64578,0.01358,0.87821,0.78261,0.89573,0.58538,1.30419,0.78386,0.02102,0.000775367,0.000775367,0.000775367
5,42.9664,1.24332,0.5578,0.01313,0.91577,0.84284,0.9391,0.62483,1.31572,0.58942,0.02061,0.000972238,0.000972238,0.000972238
6,46.8783,1.2151,0.57723,0.01236,0.87553,0.87242,0.91213,0.53951,1.55427,0.94303,0.02078,0.00116832,0.00116832,0.00116832
7,51.173,1.16156,0.51352,0.01203,0.90025,0.83951,0.91805,0.5465,1.544,0.77664,0.01943,0.00136361,0.00136361,0.00136361
8,55.1085,1.16471,0.51525,0.01204,0.90844,0.86047,0.93861,0.67561,1.13192,0.67782,0.01789,0.0015581,0.0015581,0.0015581
9,59.1814,1.17813,0.51801,0.01157,0.90907,0.85251,0.9229,0.58191,1.46215,0.7333,0.0182,0.0017518,0.0017518,0.0017518
10,62.892,1.16359,0.49779,0.01207,0.84458,0.84496,0.90633,0.53466,1.62216,0.96626,0.02268,0.00194472,0.00194472,0.00194472
11,66.9096,1.12501,0.47305,0.01149,0.83734,0.91785,0.94351,0.67909,1.14634,0.7981,0.02125,0.0019604,0.0019604,0.0019604
12,71.011,1.22299,0.5057,0.01321,0.89138,0.89063,0.94043,0.57576,1.42845,0.5423,0.01994,0.00195644,0.00195644,0.00195644
