epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9754,4.89668,5.11063,0.12645,0.09934,0,0,0,0,6.04524,5.03788,0.34655,0.04244,0.00015003,0.00015003,0.00015003
2,36.5383,4.81651,4.93573,0.12568,0.07596,0,0,0,0,6.03632,5.02488,0.34496,0.03775,0.000316416,0.000316416,0.000316416
3,43.0119,4.61469,4.53199,0.11881,0.04792,0,0,0,0,6.01668,5.00235,0.34177,0.02893,0.000482473,0.000482473,0.000482473
4,48.4214,4.10565,4.12923,0.11105,0.03153,0,0,0,0,5.9745,4.93978,0.33525,0.01979,0.000648199,0.000648199,0.000648199
5,53.8559,3.76591,3.79636,0.10517,0.01718,0,0,0,0,5.74351,4.02646,0.30735,0.01703,0.000813595,0.000813595,0.000813595
6,58.8287,3.5286,3.51114,0.09502,0.01185,0,0,0,0,5.8624,3.8818,0.32086,0.01158,0.000978662,0.000978662,0.000978662
7,64.6583,3.39818,3.34837,0.09097,0.01049,0,0,0,0,5.98096,4.04249,0.33375,0.01716,0.0011434,0.0011434,0.0011434
8,70.2236,3.28642,3.16424,0.08684,0.00648,0,0,0,0,6.09352,4.22555,0.35637,0.04243,0.0013078,0.0013078,0.0013078
9,75.2109,3.16667,3.05052,0.08543,0.00567,0,0,0,0,6.07532,4.2847,0.35165,0.04462,0.00147188,0.00147188,0.00147188
10,80.9497,3.13206,2.90436,0.08769,0.00768,0,0,0,0,5.42515,4.03644,0.27643,0.00852,0.00163563,0.00163563,0.00163563
11,85.9747,2.94217,2.71382,0.07826,0.00361,0.02041,0.00417,0.01102,0.00169,5.35829,3.7383,0.27753,0.03387,0.0016505,0.0016505,0.0016505
12,91.8013,2.81702,2.60639,0.0714,0.00397,0.12605,0.15513,0.08077,0.01478,4.15296,2.93161,0.20664,0.02228,0.00164885,0.00164885,0.00164885
13,97.2965,2.72837,2.48294,0.07128,0.00419,0.12752,0.37144,0.15025,0.03297,3.4445,2.54336,0.17338,0.00918,0.0016472,0.0016472,0.0016472
14,102.544,2.63865,2.31015,0.06621,0.0033,0.14162,0.43562,0.17664,0.0452,3.34919,2.27265,0.16343,0.00391,0.00164555,0.00164555,0.00164555
15,107.892,2.55999,2.18945,0.06536,0.00382,0.14395,0.48115,0.15695,0.03221,3.13878,2.26576,0.15537,0.00042,0.0016439,0.0016439,0.0016439
16,113.291,2.58725,2.15609,0.06388,0.00477,0.31733,0.29712,0.20918,0.03822,3.22078,2.15157,0.14729,0.00059,0.00164225,0.00164225,0.00164225
17,118.674,2.49507,2.04158,0.06022,0.00428,0.32651,0.31778,0.23569,0.04547,3.09034,2.13588,0.14211,0.00043,0.00164059,0.00164059,0.00164059
18,123.555,2.45042,1.99341,0.05988,0.00341,0.44324,0.43989,0.37743,0.09026,2.8644,1.94866,0.12951,0.00043,0.00163894,0.00163894,0.00163894
19,129.115,2.33364,1.91276,0.05607,0.0038,0.51573,0.40447,0.40229,0.11654,2.84805,1.85675,0.13727,0.00042,0.00163729,0.00163729,0.00163729
20,134.277,2.23179,1.75422,0.05162,0.00221,0.56088,0.45715,0.48585,0.14993,2.85446,1.61745,0.13587,0.00043,0.00163564,0.00163564,0.00163564
21,139.782,2.14979,1.70204,0.04828,0.00323,0.62554,0.53913,0.56618,0.18679,2.6472,1.57399,0.12777,0.00041,0.00163399,0.00163399,0.00163399
22,144.743,2.05512,1.65254,0.04547,0.00187,0.64736,0.49731,0.58608,0.20463,2.71434,1.73419,0.13082,0.00043,0.00163234,0.00163234,0.00163234
