epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5375,4.05638,4.47981,0.09015,0.06171,0,0,0,0,2.51001,3.46018,0.09788,0.00026,0.00015003,0.00015003,0.00015003
2,37.7988,2.62992,3.77244,0.05174,0.02936,0,0,0,0,2.8487,3.6205,0.10058,0.00039,0.000316416,0.000316416,0.000316416
3,45.0517,1.91779,3.2743,0.03719,0.01119,0.04545,0.04472,0.02941,0.01033,2.23417,3.62104,0.0811,0.00025,0.000482473,0.000482473,0.000482473
4,50.7348,1.65319,2.99569,0.03172,0.0045,0.03115,0.44426,0.05009,0.01679,2.20772,3.53972,0.08343,0.00029,0.000648199,0.000648199,0.000648199
5,56.0996,1.45725,2.77687,0.0267,0.00198,0.03463,0.49751,0.09279,0.03516,2.11097,3.21632,0.08028,0.00024,0.000813595,0.000813595,0.000813595
6,61.6358,1.3645,2.61185,0.02438,0.00164,0.03733,0.54024,0.15908,0.07846,1.73907,3.0016,0.07141,0.00018,0.000978662,0.000978662,0.000978662
7,67.0862,1.4777,2.51565,0.02527,0.00164,0.04269,0.52993,0.12321,0.03544,2.34486,3.0651,0.0749,0.00066,0.0011434,0.0011434,0.0011434
8,72.8987,1.44427,2.43816,0.02519,0.00091,0.05389,0.75376,0.20743,0.10571,1.55607,2.7303,0.06134,0.00011,0.0013078,0.0013078,0.0013078
9,78.5018,1.27254,2.26758,0.02387,0.00074,0.1625,0.37927,0.17,0.07009,1.71983,2.69114,0.06402,0.00021,0.00147188,0.00147188,0.00147188
10,83.8421,1.27698,2.15698,0.02394,0.00086,0.26247,0.28902,0.21444,0.11351,1.65089,2.45336,0.05171,0.00023,0.00163563,0.00163563,0.00163563
11,89.7541,1.39557,2.12998,0.02159,0.00121,0.28553,0.33193,0.23334,0.11369,1.59227,2.4194,0.05658,0.00021,0.0016505,0.0016505,0.0016505
12,95.336,1.27996,1.98912,0.01944,0.00094,0.29007,0.33451,0.26348,0.16261,1.49479,2.23258,0.0499,0.00021,0.00164885,0.00164885,0.00164885
13,100.932,1.27597,1.90856,0.02104,0.00116,0.28829,0.36331,0.28147,0.16053,1.46144,2.16231,0.04969,0.00017,0.0016472,0.0016472,0.0016472
14,106.498,1.42523,1.8709,0.02029,0.00119,0.43189,0.43265,0.40067,0.21967,1.50318,2.07934,0.04889,0.00015,0.00164555,0.00164555,0.00164555
15,112.004,1.28295,1.79772,0.01976,0.0009,0.445,0.46886,0.44683,0.25753,1.30867,1.91503,0.04148,0.0001,0.0016439,0.0016439,0.0016439
16,117.763,1.22179,1.72458,0.02044,0.00077,0.41895,0.47221,0.4064,0.20498,1.55726,1.92775,0.04063,0.00026,0.00164225,0.00164225,0.00164225
17,122.919,1.23912,1.65749,0.01813,0.00082,0.46989,0.49449,0.47166,0.25493,1.53636,1.83131,0.03874,0.00013,0.00164059,0.00164059,0.00164059
18,128.127,1.29608,1.67764,0.01992,0.00093,0.47032,0.45188,0.47603,0.27917,1.40178,1.78743,0.04333,0.00017,0.00163894,0.00163894,0.00163894
19,133.656,1.19902,1.54999,0.01736,0.00082,0.56276,0.55076,0.53276,0.29686,1.49125,1.69815,0.03369,0.00013,0.00163729,0.00163729,0.00163729
20,139.206,1.22939,1.51017,0.01779,0.00069,0.53237,0.52515,0.51675,0.29075,1.41223,1.683,0.03439,0.00016,0.00163564,0.00163564,0.00163564
21,144.469,1.21057,1.46041,0.01649,0.00062,0.56286,0.50701,0.53134,0.32859,1.38702,1.54159,0.04188,0.00012,0.00163399,0.00163399,0.00163399
22,150.126,1.24181,1.45354,0.02007,0.00085,0.53807,0.55777,0.54724,0.30807,1.33059,1.64139,0.03621,0.00014,0.00163234,0.00163234,0.00163234
23,155.284,1.20039,1.40235,0.01832,0.00066,0.60657,0.58379,0.58786,0.3693,1.19281,1.42343,0.03557,0.00011,0.00163069,0.00163069,0.00163069
24,160.943,1.12252,1.30951,0.01894,0.00055,0.56929,0.55662,0.57877,0.30817,1.50753,1.5431,0.04847,0.00022,0.00162904,0.00162904,0.00162904
25,166.377,1.25659,1.3632,0.02109,0.00081,0.66832,0.53713,0.61602,0.30842,1.67939,1.41339,0.04116,0.00027,0.00162739,0.00162739,0.00162739
26,171.774,1.20086,1.29022,0.01911,0.00056,0.57376,0.6157,0.60528,0.35084,1.26372,1.43453,0.0337,0.00014,0.00162574,0.00162574,0.00162574
27,177.316,1.12245,1.24018,0.01635,0.00067,0.6357,0.59146,0.63465,0.39486,1.22102,1.32886,0.03628,0.00014,0.00162409,0.00162409,0.00162409
28,183.13,1.13116,1.172,0.01729,0.00063,0.62405,0.65666,0.6779,0.42891,1.2002,1.17551,0.03367,0.00013,0.00162244,0.00162244,0.00162244
